Original Sort Order,Level 0,Level 1,Level 2,Check,Level 3a,Level 4,Count,Domain,COMMENTS,Decision
,,Hoop Ash,,,Other hardwood,,1,ND_Illinois_v1.3,,
,,hoopash,,,Other hardwood,,2,ND_Illinois_v1.3,,
,,hoopwood,,,Other hardwood,,8,ND_Illinois_v1.3,,
,,Iron Wood birch,,,Other hardwood,,1,ND_Illinois_v1.3,,
,,Pecon,,,Other hardwood,,5,ND_Illinois_v1.3,,
,,persimmen,,,Other hardwood,,3,ND_Illinois_v1.3,,
,,persimmon,,,Other hardwood,,1,ND_Illinois_v1.3,,
,,rd bud,,,Other hardwood,,1,ND_Illinois_v1.3,,
,,red bud,,,Other hardwood,,4,ND_Illinois_v1.3,,
,,red haw,,,Other hardwood,,1,ND_Illinois_v1.3,,
,,Safrfras,,,Other hardwood,,1,ND_Illinois_v1.3,,
,,safsafras,,,Other hardwood,,1,ND_Illinois_v1.3,,
,,Sasafras,,,Other hardwood,,3,ND_Illinois_v1.3,,
,,sassafra,,,Other hardwood,,1,ND_Illinois_v1.3,,
,,sassafras,,,Other hardwood,,9,ND_Illinois_v1.3,,
,,sassafrass,,,Other hardwood,,9,ND_Illinois_v1.3,,
,,servicebrry,,,Other hardwood,,1,ND_Illinois_v1.3,,
,,thorn,,,Other hardwood,,1,ND_Illinois_v1.3,,
,,thorny tree,,,Other hardwood,,1,ND_Illinois_v1.3,,
,,Aspen,,,Poplar,,1,ND_Illinois_v1.3,,
,,cotenwood,,,Poplar,,2,ND_Illinois_v1.3,,
,,cotton,,,Poplar,,1,ND_Illinois_v1.3,,
,,cotton tree,,,Poplar,,1,ND_Illinois_v1.3,,
,,cotton tree ,,,Poplar,,1,ND_Illinois_v1.3,,
,,cotton wood,,,Poplar,,4,ND_Illinois_v1.3,,
,,Cotton wood tree,,,Poplar,,1,ND_Illinois_v1.3,,
,,cottonwood,,,Poplar,,11,ND_Illinois_v1.3,,
,,popple,,,Poplar,,1,ND_Illinois_v1.3,,
,,quakeing asp,,,Poplar,,1,ND_Illinois_v1.3,,
,,quaking asp,,,Poplar,,4,ND_Illinois_v1.3,,
,,poplar,,,Poplar/tulip poplar,,20,ND_Illinois_v1.3,,
,,S gum,,,Sweet gum,,9,ND_Illinois_v1.3,,
,,s. gum,,,Sweet gum,,1,ND_Illinois_v1.3,,
,,sweet gum,,,Sweet gum,,10,ND_Illinois_v1.3,,
,,syc.,,,Sycamore,,4,ND_Illinois_v1.3,,
,,Sycam,,,Sycamore,,2,ND_Illinois_v1.3,,
,,Sycamore,,,Sycamore,,28,ND_Illinois_v1.3,,
,,sycamore ,,,Sycamore,,2,ND_Illinois_v1.3,,
,,syck,,,Sycamore,,1,ND_Illinois_v1.3,,
,,syckamor,,,Sycamore,,1,ND_Illinois_v1.3,,
,,syckamore,,,Sycamore,,2,ND_Illinois_v1.3,,
,,88888,,,Unknown tree,,35,ND_Illinois_v1.3,,
,,99999,,,Unknown tree,,7,ND_Illinois_v1.3,,
,,B,,,Unknown tree,,2,ND_Illinois_v1.3,,
,,B ,,,Unknown tree,,1,ND_Illinois_v1.3,,
,,H Sours,,,Unknown tree,,1,ND_Illinois_v1.3,,
,,H. Saures,,,Unknown tree,,1,ND_Illinois_v1.3,,
,,hon sours,,,Unknown tree,,1,ND_Illinois_v1.3,,
,,P. Moh,,,Unknown tree,,1,ND_Illinois_v1.3,,
,,pmia?,,,Unknown tree,,1,ND_Illinois_v1.3,,
,,SC. Species,,,Unknown tree,,2,ND_Illinois_v1.3,,
,,sour?,,,Unknown tree,,1,ND_Illinois_v1.3,,
,,tree,,,Unknown tree,,1,ND_Illinois_v1.3,,
,,W,,,Unknown tree,,3,ND_Illinois_v1.3,,
,,white,,,Unknown tree,,2,ND_Illinois_v1.3,,
,,witness tree,,,Unknown tree,,1,ND_Illinois_v1.3,,
,,b walnut,,,Walnut,,48,ND_Illinois_v1.3,,
,,B walnut ,,,Walnut,,1,ND_Illinois_v1.3,,
,,b watt,,,Walnut,,3,ND_Illinois_v1.3,,
,,B. Walnut,,,Walnut,,5,ND_Illinois_v1.3,,
,,black walnut,,,Walnut,,5,ND_Illinois_v1.3,,
,,Blk walnut,,,Walnut,,1,ND_Illinois_v1.3,,
,,Butter Nut,,,Walnut,,1,ND_Illinois_v1.3,,
,,butternut,,,Walnut,,1,ND_Illinois_v1.3,,
,,BW,,,Walnut,,1,ND_Illinois_v1.3,,
,,W Walnt,,,Walnut,,1,ND_Illinois_v1.3,,
,,W Walnut,,,Walnut,,6,ND_Illinois_v1.3,,
,,Walnut,,,Walnut,,38,ND_Illinois_v1.3,,
,,walt,,,Walnut,,1,ND_Illinois_v1.3,,
,,white walnut,,,Walnut,,4,ND_Illinois_v1.3,,
,,Water,,,Water,,60,ND_Illinois_v1.3,,
,,Wet,,,Wet,,29,ND_Illinois_v1.3,,
,,Willow,,,Willow,,10,ND_Illinois_v1.3,,
,,b alder,,,Alder,,7,ND_Indiana_v1.4,,
,,ash,,,Ash,,845,ND_Indiana_v1.4,,
,,b ash,,,Ash,,435,ND_Indiana_v1.4,,
,,B. Ash,,,Ash,,16,ND_Indiana_v1.4,,
,,bk ash,,,Ash,,1,ND_Indiana_v1.4,,
,,bl ash,,,Ash,,5,ND_Indiana_v1.4,,
,,black ash,,,Ash,,9,ND_Indiana_v1.4,,
,,blk ash,,,Ash,,34,ND_Indiana_v1.4,,
,,blue ash,,,Ash,,81,ND_Indiana_v1.4,,
,,blue ash sapling,,,Ash,,1,ND_Indiana_v1.4,,
,,g ash,,,Ash,,44,ND_Indiana_v1.4,,
,,gray ash,,,Ash,,35,ND_Indiana_v1.4,,
,,grey ash,,,Ash,,6,ND_Indiana_v1.4,,
,,north b ash,,,Ash,,1,ND_Indiana_v1.4,,
,,red ash,,,Ash,,1,ND_Indiana_v1.4,,
,,s ash,,,Ash,,46,ND_Indiana_v1.4,,
,,swamp ash,,,Ash,,20,ND_Indiana_v1.4,,
,,swp ash,,,Ash,,113,ND_Indiana_v1.4,,
,,Swp. Ash,,,Ash,,3,ND_Indiana_v1.4,,
,,w ash,,,Ash,,547,ND_Indiana_v1.4,,
,,W. Ash,,,Ash,,26,ND_Indiana_v1.4,,
,,wh ash,,,Ash,,8,ND_Indiana_v1.4,,
,,white ash,,,Ash,,18,ND_Indiana_v1.4,,
,,y ash,,,Ash,,11,ND_Indiana_v1.4,,
,,linn,,,Basswood,,1,ND_Indiana_v1.4,,
,,lyme,,,Basswood,,12,ND_Indiana_v1.4,,
,,lynn,,,Basswood,,438,ND_Indiana_v1.4,,
,,Lynntree,,,Basswood,,1,ND_Indiana_v1.4,,
,,lynnwood,,,Basswood,,1,ND_Indiana_v1.4,,
,,beech,,,Beech,,8302,ND_Indiana_v1.4,,
,,beech ,,,Beech,,2,ND_Indiana_v1.4,,
,,beech (double),,,Beech,,1,ND_Indiana_v1.4,,
,,beech sapling,,,Beech,,2,ND_Indiana_v1.4,,
,,beech stump,,,Beech,,2,ND_Indiana_v1.4,,
,,forked beech,,,Beech,,1,ND_Indiana_v1.4,,
,,ground beech,,,Beech,,1,ND_Indiana_v1.4,,
,,w beech,,,Beech,,44,ND_Indiana_v1.4,,
,,wh beech,,,Beech,,1,ND_Indiana_v1.4,,
,,white beech,,,Beech,,1,ND_Indiana_v1.4,,
,,bastard birch,,,Birch,,1,ND_Indiana_v1.4,,
,,birch,,,Birch,,46,ND_Indiana_v1.4,,
,,y birch,,,Birch,,1,ND_Indiana_v1.4,,
,,b gum,,,Black gum,,68,ND_Indiana_v1.4,,
,,B. Gum,,,Black gum,,5,ND_Indiana_v1.4,,
,,black gum,,,Black gum,,8,ND_Indiana_v1.4,,
,,blk gum,,,Black gum,,7,ND_Indiana_v1.4,,
,,pepperage,,,Black gum,,2,ND_Indiana_v1.4,,
,,pepperidge,,,Black gum,,3,ND_Indiana_v1.4,,
,,peprage or b gum,,,Black gum,,1,ND_Indiana_v1.4,,
,,gum,,,Black gum/sweet gum,,372,ND_Indiana_v1.4,,
,,w gum,,,Black gum/sweet gum,,1,ND_Indiana_v1.4,,
,,White Gum,,,Black gum/sweet gum,,1,ND_Indiana_v1.4,,
,,buckeye,,,Buckeye,,346,ND_Indiana_v1.4,,
,,black cherry,,,Cherry,,1,ND_Indiana_v1.4,,
,,cherry,,,Cherry,,116,ND_Indiana_v1.4,,
,,w cherry,,,Cherry,,1,ND_Indiana_v1.4,,
,,wild cherry,,,Cherry,,2,ND_Indiana_v1.4,,
,,Chesnut,,,Chestnut,,1,ND_Indiana_v1.4,,
,,chestnut,,,Chestnut,,3,ND_Indiana_v1.4,,
,,dogw,,,Dogwood,,1,ND_Indiana_v1.4,,
,,dogwd,,,Dogwood,,3,ND_Indiana_v1.4,,
,,dogwod,,,Dogwood,,1,ND_Indiana_v1.4,,
,,dogwood,,,Dogwood,,551,ND_Indiana_v1.4,,
,,(?) Elm,,,Elm,,1,ND_Indiana_v1.4,,
,,b elm,,,Elm,,1,ND_Indiana_v1.4,,
,,bitter elm,,,Elm,,7,ND_Indiana_v1.4,,
,,elm,,,Elm,,1359,ND_Indiana_v1.4,,
,,elm ,,,Elm,,1,ND_Indiana_v1.4,,
,,forked elm,,,Elm,,1,ND_Indiana_v1.4,,
,,h elm,,,Elm,,5,ND_Indiana_v1.4,,
,,r elm,,,Elm,,50,ND_Indiana_v1.4,,
,,R. Elm,,,Elm,,2,ND_Indiana_v1.4,,
,,red elm,,,Elm,,38,ND_Indiana_v1.4,,
,,s elm,,,Elm,,4,ND_Indiana_v1.4,,
,,swp elm,,,Elm,,5,ND_Indiana_v1.4,,
,,w elm,,,Elm,,212,ND_Indiana_v1.4,,
,,W. Elm,,,Elm,,2,ND_Indiana_v1.4,,
,,wh elm,,,Elm,,5,ND_Indiana_v1.4,,
,,white elm,,,Elm,,3,ND_Indiana_v1.4,,
,,hack,,,Hackberry,,1,ND_Indiana_v1.4,,
,,hackberry,,,Hackberry,,153,ND_Indiana_v1.4,,
,,b hickory,,,Hickory,,2,ND_Indiana_v1.4,,
,,b hicky,,,Hickory,,1,ND_Indiana_v1.4,,
,,Fkd Hickory,,,Hickory,,2,ND_Indiana_v1.4,,
,,hick,,,Hickory,,2,ND_Indiana_v1.4,,
,,hickory,,,Hickory,,2650,ND_Indiana_v1.4,,
,,hickory sapling,,,Hickory,,1,ND_Indiana_v1.4,,
,,hickry,,,Hickory,,1,ND_Indiana_v1.4,,
,,hicky,,,Hickory,,185,ND_Indiana_v1.4,,
,,w hickory,,,Hickory,,7,ND_Indiana_v1.4,,
,,w hicky,,,Hickory,,2,ND_Indiana_v1.4,,
,,Blue Beech,,,Ironwood,,1,ND_Indiana_v1.4,,
,,horn beam,,,Ironwood,,1,ND_Indiana_v1.4,,
,,hornbeam,,,Ironwood,,67,ND_Indiana_v1.4,,
,,irnwd,,,Ironwood,,6,ND_Indiana_v1.4,,
,,iron,,,Ironwood,,1,ND_Indiana_v1.4,,
,,Iron wood,,,Ironwood,,2,ND_Indiana_v1.4,,
,,irond,,,Ironwood,,14,ND_Indiana_v1.4,,
,,ironw,,,Ironwood,,10,ND_Indiana_v1.4,,
,,ironwd,,,Ironwood,,105,ND_Indiana_v1.4,,
,,ironwod,,,Ironwood,,4,ND_Indiana_v1.4,,
,,ironwood,,,Ironwood,,509,ND_Indiana_v1.4,,
,,ironwood sapling,,,Ironwood,,1,ND_Indiana_v1.4,,
,,water beech,,,Ironwood,,31,ND_Indiana_v1.4,,
,,h locust,,,Locust,,1,ND_Indiana_v1.4,,
,,honey locust,,,Locust,,15,ND_Indiana_v1.4,,
,,Locust,,,Locust,,24,ND_Indiana_v1.4,,
,,box elder,,,Maple,,17,ND_Indiana_v1.4,,
,,Boxelder,,,Maple,,3,ND_Indiana_v1.4,,
,,boxwood,,,Maple,,2,ND_Indiana_v1.4,,
,,double maple,,,Maple,,1,ND_Indiana_v1.4,,
,,maple,,,Maple,,559,ND_Indiana_v1.4,,
,,maple ,,,Maple,,3,ND_Indiana_v1.4,,
,,soft maple,,,Maple,,6,ND_Indiana_v1.4,,
,,sug,,,Maple,,7,ND_Indiana_v1.4,,
,,sug tree,,,Maple,,10,ND_Indiana_v1.4,,
,,sugar,,,Maple,,2358,ND_Indiana_v1.4,,
,,sugar tree,,,Maple,,84,ND_Indiana_v1.4,,
,,sugartree,,,Maple,,45,ND_Indiana_v1.4,,
,,w maple,,,Maple,,2,ND_Indiana_v1.4,,
,,white maple,,,Maple,,1,ND_Indiana_v1.4,,
,,mulberry,,,Mulberry,,42,ND_Indiana_v1.4,,
,,w mulberry,,,Mulberry,,1,ND_Indiana_v1.4,,
,,No data,,,No data,,439,ND_Indiana_v1.4,,
,,No tree,,,No tree,,3697,ND_Indiana_v1.4,,
,,? oak,,,Oak,,1,ND_Indiana_v1.4,,
,,b jack,,,Oak,,86,ND_Indiana_v1.4,,
,,b o,,,Oak,,4,ND_Indiana_v1.4,,
,,b oak,,,Oak,,2692,ND_Indiana_v1.4,,
,,b ok,,,Oak,,7,ND_Indiana_v1.4,,
,,B. O. ,,,Oak,,2,ND_Indiana_v1.4,,
,,B. Oak,,,Oak,,74,ND_Indiana_v1.4,,
,,bk oak,,,Oak,,1,ND_Indiana_v1.4,,
,,bl jack,,,Oak,,1,ND_Indiana_v1.4,,
,,bl oak,,,Oak,,43,ND_Indiana_v1.4,,
,,bl ok,,,Oak,,2,ND_Indiana_v1.4,,
,,black jack,,,Oak,,18,ND_Indiana_v1.4,,
,,black oak,,,Oak,,114,ND_Indiana_v1.4,,
,,black ok,,,Oak,,1,ND_Indiana_v1.4,,
,,black or yellow oak,,,Oak,,1,ND_Indiana_v1.4,,
,,blk o,,,Oak,,1,ND_Indiana_v1.4,,
,,blk oak,,,Oak,,41,ND_Indiana_v1.4,,
,,boak,,,Oak,,1,ND_Indiana_v1.4,,
,,br oak,,,Oak,,534,ND_Indiana_v1.4,,
,,bur oak,,,Oak,,50,ND_Indiana_v1.4,,
,,Bur. O.,,,Oak,,1,ND_Indiana_v1.4,,
,,burr o,,,Oak,,2,ND_Indiana_v1.4,,
,,burr oak,,,Oak,,350,ND_Indiana_v1.4,,
,,burr oak ,,,Oak,,1,ND_Indiana_v1.4,,
,,chest oak,,,Oak,,26,ND_Indiana_v1.4,,
,,chestnut oak,,,Oak,,2,ND_Indiana_v1.4,,
,,dble br oak,,,Oak,,1,ND_Indiana_v1.4,,
,,double br oak,,,Oak,,2,ND_Indiana_v1.4,,
,,double p oak,,,Oak,,1,ND_Indiana_v1.4,,
,,double w oak,,,Oak,,8,ND_Indiana_v1.4,,
,,double y oak,,,Oak,,1,ND_Indiana_v1.4,,
,,dry r oak,,,Oak,,1,ND_Indiana_v1.4,,
,,dry w oak,,,Oak,,2,ND_Indiana_v1.4,,
,,fkd b oak,,,Oak,,1,ND_Indiana_v1.4,,
,,fked w oak,,,Oak,,1,ND_Indiana_v1.4,,
,,j oak,,,Oak,,102,ND_Indiana_v1.4,,
,,J? oak,,,Oak,,1,ND_Indiana_v1.4,,
,,jack oak,,,Oak,,91,ND_Indiana_v1.4,,
,,oak,,,Oak,,197,ND_Indiana_v1.4,,
,,p oak,,,Oak,,173,ND_Indiana_v1.4,,
,,pin oak,,,Oak,,173,ND_Indiana_v1.4,,
,,pinoak,,,Oak,,1,ND_Indiana_v1.4,,
,,post oak,,,Oak,,10,ND_Indiana_v1.4,,
,,post w oak,,,Oak,,1,ND_Indiana_v1.4,,
,,r oak,,,Oak,,616,ND_Indiana_v1.4,,
,,R. Oak,,,Oak,,19,ND_Indiana_v1.4,,
,,rd oak,,,Oak,,2,ND_Indiana_v1.4,,
,,red o,,,Oak,,1,ND_Indiana_v1.4,,
,,red oak,,,Oak,,269,ND_Indiana_v1.4,,
,,s oak,,,Oak,,100,ND_Indiana_v1.4,,
,,scrub oak,,,Oak,,2,ND_Indiana_v1.4,,
,,shrub oak,,,Oak,,1,ND_Indiana_v1.4,,
,,solitary oak,,,Oak,,1,ND_Indiana_v1.4,,
,,sp oak,,,Oak,,26,ND_Indiana_v1.4,,
,,Sp. Oak,,,Oak,,2,ND_Indiana_v1.4,,
,,span oak,,,Oak,,7,ND_Indiana_v1.4,,
,,spanish oak,,,Oak,,12,ND_Indiana_v1.4,,
,,swamp oak,,,Oak,,7,ND_Indiana_v1.4,,
,,swp oak,,,Oak,,3,ND_Indiana_v1.4,,
,,w oak,,,Oak,,7114,ND_Indiana_v1.4,,
,,w ok,,,Oak,,3,ND_Indiana_v1.4,,
,,W. O.,,,Oak,,2,ND_Indiana_v1.4,,
,,W. Oak,,,Oak,,257,ND_Indiana_v1.4,,
,,W.O.,,,Oak,,2,ND_Indiana_v1.4,,
,,wh oak,,,Oak,,81,ND_Indiana_v1.4,,
,,wh ok,,,Oak,,16,ND_Indiana_v1.4,,
,,wh. o,,,Oak,,3,ND_Indiana_v1.4,,
,,wh. oak,,,Oak,,1,ND_Indiana_v1.4,,
,,white o,,,Oak,,8,ND_Indiana_v1.4,,
,,white oak,,,Oak,,259,ND_Indiana_v1.4,,
,,WO,,,Oak,,2,ND_Indiana_v1.4,,
,,y oak,,,Oak,,1452,ND_Indiana_v1.4,,
,,Y. Oak,,,Oak,,9,ND_Indiana_v1.4,,
,,yellow oak,,,Oak,,7,ND_Indiana_v1.4,,
,,b haw,,,Other hardwood,,1,ND_Indiana_v1.4,,
,,coffee nut,,,Other hardwood,,1,ND_Indiana_v1.4,,
,,coffee tree,,,Other hardwood,,1,ND_Indiana_v1.4,,
,,coffeenut,,,Other hardwood,,2,ND_Indiana_v1.4,,
,,crab apple,,,Other hardwood,,4,ND_Indiana_v1.4,,
,,crabapple,,,Other hardwood,,2,ND_Indiana_v1.4,,
,,elm and beech twisted together,,,Other hardwood,,1,ND_Indiana_v1.4,,
,,haw,,,Other hardwood,,5,ND_Indiana_v1.4,,
,,haw bush,,,Other hardwood,,1,ND_Indiana_v1.4,,
,,haw tree,,,Other hardwood,,2,ND_Indiana_v1.4,,
,,Hicky Elm,,,Other hardwood,,1,ND_Indiana_v1.4,,
,,hoopwood,,,Other hardwood,,7,ND_Indiana_v1.4,,
,,nine bark,,,Other hardwood,,1,ND_Indiana_v1.4,,
,,p ash,,,Other hardwood,,3,ND_Indiana_v1.4,,
,,paw paw,,,Other hardwood,,2,ND_Indiana_v1.4,,
,,persimmon,,,Other hardwood,,1,ND_Indiana_v1.4,,
,,plum,,,Other hardwood,,1,ND_Indiana_v1.4,,
,,plum bush,,,Other hardwood,,2,ND_Indiana_v1.4,,
,,plumb bush,,,Other hardwood,,4,ND_Indiana_v1.4,,
,,q ash,,,Other hardwood,,2,ND_Indiana_v1.4,,
,,quaking ash,,,Other hardwood,,9,ND_Indiana_v1.4,,
,,r haw,,,Other hardwood,,1,ND_Indiana_v1.4,,
,,red bud,,,Other hardwood,,16,ND_Indiana_v1.4,,
,,red haw,,,Other hardwood,,2,ND_Indiana_v1.4,,
,,redbud,,,Other hardwood,,5,ND_Indiana_v1.4,,
,,saafras,,,Other hardwood,,1,ND_Indiana_v1.4,,
,,safafrafs,,,Other hardwood,,1,ND_Indiana_v1.4,,
,,sapafas,,,Other hardwood,,2,ND_Indiana_v1.4,,
,,sapafrap,,,Other hardwood,,1,ND_Indiana_v1.4,,
,,sapafras,,,Other hardwood,,15,ND_Indiana_v1.4,,
,,sapapap,,,Other hardwood,,1,ND_Indiana_v1.4,,
,,sasafras,,,Other hardwood,,11,ND_Indiana_v1.4,,
,,sasafrass,,,Other hardwood,,3,ND_Indiana_v1.4,,
,,sassafras,,,Other hardwood,,52,ND_Indiana_v1.4,,
,,sassafrass,,,Other hardwood,,12,ND_Indiana_v1.4,,
,,senia bush,,,Other hardwood,,1,ND_Indiana_v1.4,,
,,thorn,,,Other hardwood,,8,ND_Indiana_v1.4,,
,,w haw,,,Other hardwood,,3,ND_Indiana_v1.4,,
,,w thorn,,,Other hardwood,,4,ND_Indiana_v1.4,,
,,white thorn,,,Other hardwood,,3,ND_Indiana_v1.4,,
,,pine,,,Pine,,1,ND_Indiana_v1.4,,
,,w pine,,,Pine,,1,ND_Indiana_v1.4,,
,,aspen,,,Poplar,,275,ND_Indiana_v1.4,,
,,aspin,,,Poplar,,5,ND_Indiana_v1.4,,
,,cottonwood,,,Poplar,,34,ND_Indiana_v1.4,,
,,quaking aspen,,,Poplar,,2,ND_Indiana_v1.4,,
,,north poplar,,,Poplar/tulip poplar,,1,ND_Indiana_v1.4,,
,,poplar,,,Poplar/tulip poplar,,605,ND_Indiana_v1.4,,
,,Poplar ,,,Poplar/tulip poplar,,1,ND_Indiana_v1.4,,
,,s gum,,,Sweet gum,,18,ND_Indiana_v1.4,,
,,sweet gum,,,Sweet gum,,10,ND_Indiana_v1.4,,
,,syc,,,Sycamore,,1,ND_Indiana_v1.4,,
,,sycamore,,,Sycamore,,164,ND_Indiana_v1.4,,
,,swp tamarack,,,Tamarack,,1,ND_Indiana_v1.4,,
,,tam,,,Tamarack,,2,ND_Indiana_v1.4,,
,,tamarac,,,Tamarack,,14,ND_Indiana_v1.4,,
,,tamarack,,,Tamarack,,53,ND_Indiana_v1.4,,
,,tamarak,,,Tamarack,,2,ND_Indiana_v1.4,,
,,tamerack,,,Tamarack,,2,ND_Indiana_v1.4,,
,,tamk,,,Tamarack,,112,ND_Indiana_v1.4,,
,,w wood,,,Tulip poplar,,9,ND_Indiana_v1.4,,
,,white wood,,,Tulip poplar,,2,ND_Indiana_v1.4,,
,,88888,,,Unknown tree,,6,ND_Indiana_v1.4,,
,,99999,,,Unknown tree,,39,ND_Indiana_v1.4,,
,,B,,,Unknown tree,,6,ND_Indiana_v1.4,,
,,B 99999,,,Unknown tree,,58,ND_Indiana_v1.4,,
,,B G,,,Unknown tree,,1,ND_Indiana_v1.4,,
,,b tree,,,Unknown tree,,2,ND_Indiana_v1.4,,
,,black,,,Unknown tree,,1,ND_Indiana_v1.4,,
,,E,,,Unknown tree,,1,ND_Indiana_v1.4,,
,,scrub,,,Unknown tree,,1,ND_Indiana_v1.4,,
,,W ____,,,Unknown tree,,2,ND_Indiana_v1.4,,
,,W.,,,Unknown tree,,1,ND_Indiana_v1.4,,
,,b walnut,,,Walnut,,104,ND_Indiana_v1.4,,
,,B. Walnut,,,Walnut,,1,ND_Indiana_v1.4,,
,,black walnut,,,Walnut,,10,ND_Indiana_v1.4,,
,,blk walnut,,,Walnut,,2,ND_Indiana_v1.4,,
,,Butternut,,,Walnut,,10,ND_Indiana_v1.4,,
,,forked B Walnut,,,Walnut,,1,ND_Indiana_v1.4,,
,,w walnut,,,Walnut,,84,ND_Indiana_v1.4,,
,,w. walnut,,,Walnut,,1,ND_Indiana_v1.4,,
,,walnut,,,Walnut,,103,ND_Indiana_v1.4,,
,,wh walnut,,,Walnut,,1,ND_Indiana_v1.4,,
,,white walnut,,,Walnut,,7,ND_Indiana_v1.4,,
,,Water,,,Water,,246,ND_Indiana_v1.4,,
,,Wet,,,Wet,,622,ND_Indiana_v1.4,,
,,red willow,,,Willow,,2,ND_Indiana_v1.4,,
,,small willow,,,Willow,,1,ND_Indiana_v1.4,,
,,willow,,,Willow,,225,ND_Indiana_v1.4,,
,,willow thicket,,,Willow,,1,ND_Indiana_v1.4,,
,alder,,,,Alder,,2,Northeast (1372),,
,ash ,,,,Ash,,3915,Northeast (1372),,
,Black ash,,,,Ash,,1932,Northeast (1372),,
,brown ash,,,,Ash,,103,Northeast (1372),,
,other ash,"6 additional modifers of ash: yellow, river, montane, hoop, winter, basket",,,Ash,,41,Northeast (1372),,
,Red ash,,,,Ash,,403,Northeast (1372),,
,Water ash,,,,Ash,,122,Northeast (1372),,
,White ash,,,,Ash,,2024,Northeast (1372),,
,Chth cedar,,,,Atlantic white cedar,,336,Northeast (1372),,
,Basswood,,,,Basswood,,2702,Northeast (1372),,
,linden/lime,,,,Basswood,,90,Northeast (1372),,
,Lynn,,,,Basswood,,705,Northeast (1372),,
,wicerpee,,,,Basswood,,31,Northeast (1372),,
,Beech,,,,Beech,,52147,Northeast (1372),,
,Birch,,,,Birch,,11226,Northeast (1372),,
,Black birch,,,,Birch,,1330,Northeast (1372),note split yellow & black birch,
,red birch,,,,Birch,,70,Northeast (1372),,
,rock birch,,,,Birch,,56,Northeast (1372),,
,swamp birch,,,,Birch,,62,Northeast (1372),,
,White birch,,,,Birch,,1251,Northeast (1372),,
,Yellow birch,,,,Birch,,1366,Northeast (1372),,
,hornbine,,,,Black gum,,47,Northeast (1372),,
,Pepperidge,,,,Black gum,,148,Northeast (1372),,
,snagwood,,,,Black gum,,14,Northeast (1372),,
,swampwood,,,,Black gum,,55,Northeast (1372),,
,wild pear,,,,Black gum,,40,Northeast (1372),,
,Gum,,,,Black gum/sweet gum,,881,Northeast (1372),,
,buckeye,,,,Buckeye,,3,Northeast (1372),,
,Cedar,,,,Cedar/juniper,,1790,Northeast (1372),,
,Juniper,,,,Cedar/juniper,,211,Northeast (1372),,
,red cedar,,,,Cedar/juniper,,25,Northeast (1372),,
,black cherry,,,,Cherry,,34,Northeast (1372),,
,Cherry,,,,Cherry,,922,Northeast (1372),,
,red cherry,,,,Cherry,,13,Northeast (1372),,
,wild cherry,,,,Cherry,,54,Northeast (1372),,
,Chestnut,,,,Chestnut,,15237,Northeast (1372),,
,Dogwood,,,,Dogwood,,1417,Northeast (1372),,
,Elm,,,,Elm,,3424,Northeast (1372),,
,red elm,,,,Elm,,34,Northeast (1372),,
,white elm,,,,Elm,,35,Northeast (1372),,
,witch elm,,,,Elm,,23,Northeast (1372),,
,Fir,,,,Fir,,3132,Northeast (1372),,
,Hemlock,,,,Hemlock,,25066,Northeast (1372),,
,"old ""spruce"" (incl. spruce pine)",,,,Hemlock,,850,Northeast (1372),,
,bitter walnut,,,,Hickory,,12,Northeast (1372),,
,Hickory,,,,Hickory,,8000,Northeast (1372),,
,pignut,,,,Hickory,,7,Northeast (1372),,
,shagbark,,,,Hickory,,15,Northeast (1372),,
,blue beech,,,,Ironwood,,9,Northeast (1372),,
,hard beam,,,,Ironwood,,75,Northeast (1372),,
,Hardhack,,,,Ironwood,,208,Northeast (1372),,
,Hazel,,,,Ironwood,,111,Northeast (1372),,
,Hornbeam,,,,Ironwood,,312,Northeast (1372),,
,ironwood,,,,Ironwood,,2232,Northeast (1372),,
,Leverwood,,,,Ironwood,,143,Northeast (1372),,
,"remmond, remon",,,,Ironwood,,14,Northeast (1372),,
,water beech,,,,Ironwood,,71,Northeast (1372),,
,Witch hazel,,,,Ironwood,,404,Northeast (1372),Not Hamamelis,
,Locust,,,,Locust,,465,Northeast (1372),,
,bastard maple,,,,Maple,,5,Northeast (1372),,
,box elder,,,,Maple,,3,Northeast (1372),,
,boxwood ,,,,Maple,,75,Northeast (1372),,
,Hard maple,,,,Maple,,1374,Northeast (1372),,
,Maple,,,,Maple,,17107,Northeast (1372),,
,Moosewood,,,,Maple,,171,Northeast (1372),,
,other moose ,"7 additional names for moosewood: moose willow, moose maple, moosebush, striped maple, hopplewood, moose elm",,,Maple,,44,Northeast (1372),,
,red maple,,,,Maple,,6,Northeast (1372),,
,Rock maple,,,,Maple,,1957,Northeast (1372),,
,Soft maple,,,,Maple,,1018,Northeast (1372),,
,Sugar maple,,,,Maple,,5891,Northeast (1372),,
,Sugar tree,,,,Maple,,3832,Northeast (1372),,
,swamp maple,,,,Maple,,15,Northeast (1372),,
,White maple,,,,Maple,,663,Northeast (1372),,
,mulberry,,,,Mulberry,,18,Northeast (1372),,
,Black oak,,,,Oak,,30235,Northeast (1372),,
,bur oak,,,,Oak,,16,Northeast (1372),,
,chestnut oak ,,,,Oak,,5332,Northeast (1372),,
,greene oak,,,,Oak,,61,Northeast (1372),,
,Grey oak,,,,Oak,,747,Northeast (1372),,
